Row,loading,p_value
ASC,-0.237410698036659,0.00473701030009962
EC,-0.159785253468674,0.0593233576466355
MG,-0.124836821729121,0.141669656579293
OLG,0.159342047198721,0.0600412520695666
OPC,-0.289116693144673,0.000531225111013324
VLMC,-0.0389832358845581,0.647459461366395
L2,0.0556217754094092,0.513929777923351
L2_3,-0.0473989850812345,0.578130908413276
L2_3_4,0.138124046733949,0.103638582622032
L3_4,-0.0137910725183163,0.871524078963388
L3_4_5,-0.0095612689013359,0.910729250413354
L4,0.338434714860118,4.31617790423789e-05
L4_5,-0.143828310209898,0.0900055014345258
L4_5_6,0.0349757579887811,0.681619588790043
L5_6,-0.21579953721554,0.0104452854786474
L6,-0.0957166266750453,0.26060353871475
LAMP5,-0.158721505194859,0.0610583472813225
PVALB,0.0773905163594841,0.363428624009121
PV_CHC,-0.656683713023476,1.25980533391345e-18
RELN,-0.387498745390291,2.24540401443366e-06
SST,-0.193834250953596,0.0217489453869258
VIP,-0.229878421854258,0.00629008765378125
VIP_RELN,0.114911492496215,0.176393180709199
